data_date,avg_rainfall,grid_count
2016-01-01,0.00,43
2016-01-02,0.00,43
2016-01-03,16.29,43
2016-01-04,0.01,43
2016-01-05,0.31,43
2016-01-06,38.42,43
2016-01-07,0.00,43
2016-01-08,1.77,43
2016-01-09,0.00,43
2016-01-10,0.00,43
2016-01-11,50.91,43
2016-01-12,2.12,43
2016-01-13,0.00,43
2016-01-14,0.00,43
2016-01-15,1.74,43
2016-01-16,0.03,43
2016-01-17,47.26,43
2016-01-18,0.00,43
2016-01-19,0.15,43
2016-01-20,0.00,43
2016-01-21,14.74,43
2016-01-22,29.57,43
2016-01-23,24.94,43
2016-01-24,5.07,43
2016-01-25,0.00,43
2016-01-26,0.00,43
2016-01-27,0.00,43
2016-01-28,6.81,43
2016-01-29,45.44,43
2016-01-30,8.41,43
2016-01-31,0.00,43
2016-02-01,13.65,43
2016-02-02,4.34,43
2016-02-03,0.00,43
2016-02-04,1.72,43
2016-02-05,2.72,43
2016-02-06,0.00,43
2016-02-07,0.00,43
2016-02-08,0.00,43
2016-02-09,0.00,43
2016-02-10,0.00,43
2016-02-11,2.61,43
2016-02-12,0.00,43
2016-02-13,0.00,43
2016-02-14,18.75,43
2016-02-15,0.00,43
2016-02-16,0.00,43
2016-02-17,2.28,43
2016-02-18,5.49,43
2016-02-19,0.00,43
2016-02-20,0.98,43
2016-02-21,0.00,43
2016-02-22,0.00,43
2016-02-23,0.00,43
2016-02-24,0.00,43
2016-02-25,0.00,43
2016-02-26,5.17,43
2016-02-27,8.28,43
2016-02-28,0.00,43
2016-02-29,0.00,43
2016-03-01,0.00,43
2016-03-02,0.00,43
2016-03-03,0.00,43
2016-03-04,0.00,43
2016-03-05,0.00,43
2016-03-06,0.00,43
2016-03-07,0.00,43
2016-03-08,1.29,43
2016-03-09,19.62,43
2016-03-10,37.56,43
2016-03-11,7.84,43
2016-03-12,5.25,43
2016-03-13,42.53,43
2016-03-14,10.52,43
2016-03-15,9.20,43
2016-03-16,5.85,43
2016-03-17,0.32,43
2016-03-18,51.07,43
2016-03-19,10.78,43
2016-03-20,1.51,43
2016-03-21,6.70,43
2016-03-22,1.26,43
2016-03-23,47.68,43
2016-03-24,9.40,43
2016-03-25,16.36,43
2016-03-26,0.00,43
2016-03-27,0.00,43
2016-03-28,0.00,43
2016-03-29,0.00,43
2016-03-30,0.00,43
2016-03-31,0.00,43
2016-04-01,0.00,43
2016-04-02,0.00,43
2016-04-03,0.00,43
2016-04-04,0.00,43
2016-04-05,0.00,43
2016-04-06,0.00,43
2016-04-07,0.00,43
2016-04-08,0.00,43
2016-04-09,0.00,43
2016-04-10,18.26,43
2016-04-11,3.97,43
2016-04-12,15.44,43
2016-04-13,81.12,43
2016-04-14,21.67,43
2016-04-15,5.18,43
2016-04-16,0.14,43
2016-04-17,0.00,43
2016-04-18,19.37,43
2016-04-19,0.00,43
2016-04-20,0.00,43
2016-04-21,0.00,43
2016-04-22,0.00,43
2016-04-23,0.00,43
2016-04-24,6.46,43
2016-04-25,0.25,43
2016-04-26,0.00,43
2016-04-27,35.75,43
2016-04-28,42.24,43
2016-04-29,0.00,43
2016-04-30,0.00,43
2016-05-01,2.33,43
2016-05-02,0.00,43
2016-05-03,0.17,43
2016-05-04,0.00,43
2016-05-05,0.00,43
2016-05-06,0.00,43
2016-05-07,0.00,43
2016-05-08,0.00,43
2016-05-09,0.00,43
2016-05-10,16.02,43
2016-05-11,42.77,43
2016-05-12,0.00,43
2016-05-13,0.24,43
2016-05-14,0.00,43
2016-05-15,0.00,43
2016-05-16,46.03,43
2016-05-17,0.00,43
2016-05-18,0.00,43
2016-05-19,0.00,43
2016-05-20,0.00,43
2016-05-21,1.37,43
2016-05-22,12.59,43
2016-05-23,8.47,43
2016-05-24,0.80,43
2016-05-25,0.02,43
2016-05-26,0.00,43
2016-05-27,1.50,43
2016-05-28,0.00,43
2016-05-29,0.00,43
2016-05-30,0.00,43
2016-05-31,0.00,43
2016-06-01,0.00,43
2016-06-02,1.51,43
2016-06-03,4.68,43
2016-06-04,0.00,43
2016-06-05,0.26,43
2016-06-06,0.67,43
2016-06-07,1.48,43
2016-06-08,0.00,43
2016-06-09,0.00,43
2016-06-10,17.87,43
2016-06-11,6.24,43
2016-06-12,2.27,43
2016-06-13,19.29,43
2016-06-14,73.88,43
2016-06-15,0.00,43
2016-06-16,0.00,43
2016-06-17,0.00,43
2016-06-18,0.00,43
2016-06-19,0.00,43
2016-06-20,0.00,43
2016-06-21,0.00,43
2016-06-22,0.00,43
2016-06-23,0.00,43
2016-06-24,0.00,43
2016-06-25,0.00,43
2016-06-26,0.00,43
2016-06-27,0.00,43
2016-06-28,20.22,43
2016-06-29,0.00,43
2016-06-30,0.00,43
2016-07-01,0.00,43
2016-07-02,23.38,43
2016-07-03,4.58,43
2016-07-04,0.00,43
2016-07-05,0.00,43
2016-07-06,0.00,43
2016-07-07,0.00,43
2016-07-08,1.13,43
2016-07-09,0.00,43
2016-07-10,0.00,43
2016-07-11,0.00,43
2016-07-12,0.00,43
2016-07-13,0.00,43
2016-07-14,0.00,43
2016-07-15,0.00,43
2016-07-16,0.00,43
2016-07-17,0.00,43
2016-07-18,0.00,43
2016-07-19,0.00,43
2016-07-20,0.00,43
2016-07-21,0.00,43
2016-07-22,0.00,43
2016-07-23,0.00,43
2016-07-24,0.00,43
2016-07-25,0.00,43
2016-07-26,0.01,43
2016-07-27,0.00,43
2016-07-28,0.00,43
2016-07-29,0.00,43
2016-07-30,0.00,43
2016-07-31,0.00,43
2016-08-01,7.57,43
2016-08-02,20.72,43
2016-08-03,0.00,43
2016-08-04,0.00,43
2016-08-05,0.00,43
2016-08-06,0.00,43
2016-08-07,0.00,43
2016-08-08,0.00,43
2016-08-09,0.00,43
2016-08-10,0.18,43
2016-08-11,22.42,43
2016-08-12,14.21,43
2016-08-13,1.23,43
2016-08-14,0.00,43
2016-08-15,0.00,43
2016-08-16,3.65,43
2016-08-17,0.72,43
2016-08-18,0.02,43
2016-08-19,0.00,43
2016-08-20,0.00,43
2016-08-21,0.00,43
2016-08-22,0.00,43
2016-08-23,0.00,43
2016-08-24,0.00,43
2016-08-25,0.00,43
2016-08-26,0.00,43
2016-08-27,9.97,43
2016-08-28,0.02,43
2016-08-29,0.00,43
2016-08-30,0.00,43
2016-08-31,0.00,43
2016-09-01,0.00,43
2016-09-02,10.74,43
2016-09-03,11.32,43
2016-09-04,0.00,43
2016-09-05,0.02,43
2016-09-06,28.71,43
2016-09-07,0.25,43
2016-09-08,0.00,43
2016-09-09,10.97,43
2016-09-10,0.01,43
2016-09-11,0.00,43
2016-09-12,0.00,43
2016-09-13,1.01,43
2016-09-14,0.03,43
2016-09-15,0.02,43
2016-09-16,0.00,43
2016-09-17,45.00,43
2016-09-18,2.23,43
2016-09-19,0.00,43
2016-09-20,0.00,43
2016-09-21,0.00,43
2016-09-22,0.00,43
2016-09-23,0.00,43
2016-09-24,0.00,43
2016-09-25,0.00,43
2016-09-26,8.28,43
2016-09-27,38.64,43
2016-09-28,2.95,43
2016-09-29,9.30,43
2016-09-30,13.04,43
2016-10-01,0.00,43
2016-10-02,0.00,43
2016-10-03,0.00,43
2016-10-04,0.00,43
2016-10-05,0.00,43
2016-10-06,1.26,43
2016-10-07,3.41,43
2016-10-08,2.29,43
2016-10-09,1.41,43
2016-10-10,0.26,43
2016-10-11,0.39,43
2016-10-12,0.00,43
2016-10-13,0.00,43
2016-10-14,0.00,43
2016-10-15,0.00,43
2016-10-16,0.00,43
2016-10-17,0.00,43
2016-10-18,0.00,43
2016-10-19,0.00,43
2016-10-20,0.00,43
2016-10-21,0.21,43
2016-10-22,0.13,43
2016-10-23,0.00,43
2016-10-24,0.00,43
2016-10-25,0.00,43
2016-10-26,0.00,43
2016-10-27,0.00,43
2016-10-28,0.00,43
2016-10-29,0.00,43
2016-10-30,0.00,43
2016-10-31,0.00,43
2016-11-01,0.00,43
2016-11-02,0.00,43
2016-11-03,0.00,43
2016-11-04,0.00,43
2016-11-05,0.00,43
2016-11-06,0.00,43
2016-11-07,0.00,43
2016-11-08,0.00,43
2016-11-09,0.00,43
2016-11-10,4.44,43
2016-11-11,0.00,43
2016-11-12,0.00,43
2016-11-13,0.00,43
2016-11-14,0.00,43
2016-11-15,0.00,43
2016-11-16,0.00,43
2016-11-17,0.00,43
2016-11-18,0.45,43
2016-11-19,0.00,43
2016-11-20,12.45,43
2016-11-21,22.48,43
2016-11-22,2.90,43
2016-11-23,51.89,43
2016-11-24,0.00,43
2016-11-25,0.00,43
2016-11-26,2.29,43
2016-11-27,11.65,43
2016-11-28,0.00,43
2016-11-29,0.00,43
2016-11-30,0.00,43
2016-12-01,0.00,43
2016-12-02,0.00,43
2016-12-03,0.00,43
2016-12-04,0.00,43
2016-12-05,0.00,43
2016-12-06,0.00,43
2016-12-07,0.00,43
2016-12-08,0.00,43
2016-12-09,0.00,43
2016-12-10,0.00,43
2016-12-11,0.00,43
2016-12-12,0.00,43
2016-12-13,0.00,43
2016-12-14,0.00,43
2016-12-15,0.00,43
2016-12-16,0.00,43
2016-12-17,0.00,43
2016-12-18,0.00,43
2016-12-19,0.00,43
2016-12-20,0.00,43
2016-12-21,0.00,43
2016-12-22,4.51,43
2016-12-23,0.00,43
2016-12-24,0.00,43
2016-12-25,0.00,43
2016-12-26,0.00,43
2016-12-27,0.00,43
2016-12-28,2.39,43
2016-12-29,0.00,43
2016-12-30,0.00,43
2016-12-31,0.00,43
2017-01-01,0.00,43
2017-01-02,0.00,43
2017-01-03,0.00,43
2017-01-04,0.00,43
2017-01-05,0.00,43
2017-01-06,0.07,43
2017-01-07,0.00,43
2017-01-08,0.00,43
2017-01-09,0.00,43
2017-01-10,0.00,43
2017-01-11,0.00,43
2017-01-12,0.00,43
2017-01-13,5.30,43
2017-01-14,14.27,43
2017-01-15,0.26,43
2017-01-16,0.00,43
2017-01-17,0.00,43
2017-01-18,0.20,43
2017-01-19,0.42,43
2017-01-20,0.04,43
2017-01-21,0.00,43
2017-01-22,0.00,43
2017-01-23,0.00,43
2017-01-24,0.00,43
2017-01-25,0.00,43
2017-01-26,0.00,43
2017-01-27,0.00,43
2017-01-28,0.00,43
2017-01-29,0.00,43
2017-01-30,0.00,43
2017-01-31,0.00,43
2017-02-01,0.00,43
2017-02-02,0.00,43
2017-02-03,0.00,43
2017-02-04,0.00,43
2017-02-05,0.00,43
2017-02-06,0.00,43
2017-02-07,0.00,43
2017-02-08,0.01,43
2017-02-09,1.33,43
2017-02-10,0.00,43
2017-02-11,0.00,43
2017-02-12,0.00,43
2017-02-13,0.00,43
2017-02-14,0.00,43
2017-02-15,0.00,43
2017-02-16,0.00,43
2017-02-17,0.00,43
2017-02-18,0.00,43
2017-02-19,0.00,43
2017-02-20,0.39,43
2017-02-21,0.00,43
2017-02-22,25.86,43
2017-02-23,2.27,43
2017-02-24,17.70,43
2017-02-25,19.93,43
2017-02-26,11.67,43
2017-02-27,0.00,43
2017-02-28,0.00,43
2017-03-01,0.00,43
2017-03-02,0.00,43
2017-03-03,0.00,43
2017-03-04,0.00,43
2017-03-05,0.00,43
2017-03-06,17.49,43
2017-03-07,6.94,43
2017-03-08,0.58,43
2017-03-09,0.00,43
2017-03-10,22.18,43
2017-03-11,0.09,43
2017-03-12,0.00,43
2017-03-13,0.90,43
2017-03-14,4.14,43
2017-03-15,0.00,43
2017-03-16,23.44,43
2017-03-17,0.26,43
2017-03-18,0.00,43
2017-03-19,4.63,43
2017-03-20,0.00,43
2017-03-21,0.00,43
2017-03-22,4.71,43
2017-03-23,3.65,43
2017-03-24,0.00,43
2017-03-25,13.26,43
2017-03-26,9.47,43
2017-03-27,0.00,43
2017-03-28,0.00,43
2017-03-29,0.00,43
2017-03-30,0.00,43
2017-03-31,20.47,43
2017-04-01,5.51,43
2017-04-02,0.00,43
2017-04-03,0.00,43
2017-04-04,0.00,43
2017-04-05,0.00,43
2017-04-06,0.00,43
2017-04-07,1.07,43
2017-04-08,0.00,43
2017-04-09,0.00,43
2017-04-10,0.00,43
2017-04-11,24.31,43
2017-04-12,10.82,43
2017-04-13,12.38,43
2017-04-14,0.00,43
2017-04-15,0.00,43
2017-04-16,0.00,43
2017-04-17,0.00,43
2017-04-18,0.00,43
2017-04-19,0.00,43
2017-04-20,6.05,43
2017-04-21,20.68,43
2017-04-22,5.59,43
2017-04-23,0.00,43
2017-04-24,1.76,43
2017-04-25,0.00,43
2017-04-26,0.00,43
2017-04-27,15.07,43
2017-04-28,0.00,43
2017-04-29,0.00,43
2017-04-30,0.00,43
2017-05-01,0.00,43
2017-05-02,0.00,43
2017-05-03,0.00,43
2017-05-04,0.00,43
2017-05-05,0.00,43
2017-05-06,0.00,43
2017-05-07,0.00,43
2017-05-08,0.00,43
2017-05-09,7.15,43
2017-05-10,0.00,43
2017-05-11,0.00,43
2017-05-12,0.00,43
2017-05-13,1.73,43
2017-05-14,0.00,43
2017-05-15,6.54,43
2017-05-16,50.60,43
2017-05-17,0.00,43
2017-05-18,0.00,43
2017-05-19,2.24,43
2017-05-20,4.51,43
2017-05-21,0.00,43
2017-05-22,0.00,43
