id,res_name
1,馬鞍后池
2,中庄調整池
3,馬鞍壩
4,攔河堰(石門)
5,烏溝水庫
6,赤崁地下水庫
7,小池水庫
8,七美水庫
9,石門水庫
11,木瓜壩
12,龍溪壩
14,木瓜壩
15,龍溪壩
16,溪畔壩
18,南溪壩
19,青山壩
20,隆恩堰
21,谷關水庫
23,木瓜壩
24,龍溪壩
26,木瓜壩
27,龍溪壩
28,龍溪壩
30,木瓜壩
31,龍溪壩
33,木瓜壩
34,天輪壩
35,霧社水庫
38,阿玉壩
40,桂山壩
43,粗坑壩
44,粗坑壩
45,明湖下池水庫
46,日月潭水庫
47,蘭潭水庫
48,鏡面水庫
49,興仁水庫
50,澄清湖水庫
51,東港溪攔河堰
52,鳳山水庫
53,新山水庫
54,南化水庫
56,西勢水庫
57,西安水庫
58,成功水庫
59,玉峰堰
60,永和山水庫
63,仁義潭水庫
64,青潭壩
65,直潭壩
67,羅東攔河堰
68,寶山第二水庫
69,桶頭攔河堰
70,桶頭攔河堰
71,湖山水庫
72,湖山水庫
73,石岡壩
74,集集攔河堰
75,鯉魚潭水庫
76,翡翠水庫
77,德元埤水庫
80,美濃湖水庫
84,頭社水庫
85,甲仙攔河堰
86,尖山埤水庫
87,鹿寮溪水庫
88,觀音湖水庫
91,儲水沃水庫
92,勝利水庫
93,秋桂山水庫
94,津沙水庫
95,津沙一號水庫
96,東湧水庫
97,板里水庫
98,后沃水庫
99,山西水庫
100,太湖水庫
101,田浦水庫
102,西湖水庫
103,瓊林水庫
104,蘭湖水庫
105,金沙水庫
106,金湖水庫
107,菱湖水庫
108,陽明湖水庫
110,蓮湖水庫
113,擎天水庫
114,寶山水庫
115,虎頭埤水庫
116,高屏溪攔河堰水庫
117,士林攔河堰
118,龍鑾潭水庫
119,牡丹水庫
120,內埔子水庫
121,白河水庫
122,武界壩水庫
123,鹽水埤水庫
124,明潭下池水庫
125,曾文水庫
126,銃櫃壩水庫
127,鳶山堰
